id,type,label,query_language,expected_verdict,expected_course,note,query_preview
1,exact_match_fi,Exact Match (Finnish Input),fi,EQUIVALENT,TT00CE07,Scenario 1: Finnish input finds its own Finnish entry at high score.,"Opiskelija ymmärtää kyberturvallisuuden ja tietoturvallisuuden hallintajärjestelmien merkityksen, periaatteet ja vaatimu..."
2,cross_lingual_en_finds_fi,Cross-Lingual: English Input Finds Finnish Entry,en,EQUIVALENT,TT00CE07,Scenario 2: English query matches Finnish DB entry of the same course. Core cross-lingual demo.,"The student understands the importance, principles and requirements of cyber security and information security managemen..."
3,semantic_equivalent_fi,"Semantic Equivalence (Finnish, Different Wording)",fi,EQUIVALENT,TT00CD79,Scenario 3: Finnish description of a standard web course matches cleanly.,Opintojaksolla tutustut web-sivustojen tekemisen perusteisiin hyviä käytänteitä noudattaen. Opintojakson käytyäsi osaat ...
4,semantic_equivalent_en,Semantic Equivalence (English Input),en,EQUIVALENT,TT00CD71,Scenario 4: English query for OS management course. Clean single match.,"After completing the course, you will understand the most important concepts of the Linux operating system (Linux OS) an..."
5,cross_lingual_fi_finds_en,Cross-Lingual: Finnish Input Finds English Entry,fi,EQUIVALENT,TT00CD70,Scenario 5: Finnish query finds English DB entry of the same course. Confirms bidirectional cross-lingual retrieval.,"Opit tietokoneiden (ja muiden päätelaitteiden) käyttämien tietoverkkojen rakenteen, protokollat ja niiden suunnittelun p..."
6,partial_overlap_borderline,Partial Overlap (Borderline Warning Zone),fi,EQUIVALENT or POTENTIAL OVERLAP depending on top match,"TT00CD87 (primary), TT00CE11 may appear in overlap zone",Scenario 6: Hard negative pair in cybersecurity domain. Demonstrates overlap warning zone.,Opiskelija tuntee ja osaa soveltaa eri tietoturvatekniikoita. Opiskelija tietää ja ymmärtää erilaisten tietoturvateknolo...
7,hard_negative_same_domain,"Hard Negative: Same Domain, Different Course",fi,"EQUIVALENT for TT00CQ79, NOT EQUIVALENT for TT00CD86",TT00CQ79,Scenario 7: Hard negative pair SYN_HARD_TT00CQ79_TT00CD86. Same cybersecurity domain but different competence focus.,"Sinä hallitset keskeisimmät tietoturvallisuuteen liittyvät osa-alueet: lainsäädäntö, tietosuoja, direktiivit, tiedon luo..."
8,hard_negative_networking,Hard Negative: Local Area Networks vs Data Center Networks,en,"EQUIVALENT for TT00CE20, NOT EQUIVALENT for TT00CE29",TT00CE20,Scenario 8: Hard negative pair SYN_HARD_TT00CE20_TT00CE29 within networking group.,"You will learn local area network protocols, structure and principles of their design. You will learn how to search for ..."
9,easy_negative_distant_domain,Easy Negative: Distant Domain (Physics),fi,NO MATCH,None,Scenario 9: Physics course well outside ICT domain. All similarity scores expected below 0.80.,Tarkoitus: Monien eri sovellusten toiminta perustuu fysikaaliseen kokeelliseen dataan. Datan hyödyntäminen edellyttää da...
10,new_course_no_match,New Course: Quantum Computing (Not in Database),en,NO MATCH,None,Scenario 10: Genuinely new course. No existing course covers quantum computing. Clean no-match expected.,The student understands the basic principles of quantum computing and quantum information theory. The student knows the ...
11,multiple_matches,Multiple Matches: General Cybersecurity Input,en,EQUIVALENT or POTENTIAL OVERLAP for multiple courses,"Multiple: TT00CQ78, TT00CQ79, TT00CD86 possible",Scenario 11: Broad cybersecurity description. Demonstrates top-5 ranked result list. Curriculum designer must review.,"The student understands the key concepts of cybersecurity including threats, vulnerabilities, and malware. The student k..."
12,short_input_limitation,Short Input: Title Only (Known Limitation),en,Uncertain - scores may be unreliable with title-only input,"TT00CE17 (possibly, but uncertain)",Scenario 12: Title-only input. Known limitation. Demonstrates that outcomes-level text is required for reliable retrieval.,Web Application Security Testing...
13,mixed_language_input,Mixed Language: Finnish and English in One Description,mixed,EQUIVALENT for TT00CD90,TT00CD90,Scenario 13: Mixed FI/EN input. LaBSE handles code-switching reasonably. Performance not guaranteed.,"Opiskelija ymmärtää ohjelmistosuunnittelun periaatteet, menetelmät ja työkalut. The primary goal is to strengthen requir..."
14,paraphrased_equivalent,"Paraphrased Description (Semantic Equivalence, Not Verbatim)",en,EQUIVALENT,TT00CE01,Scenario 14: Not verbatim. Tests genuine semantic understanding rather than lexical overlap.,Students explore foundational concepts in machine learning with a focus on classification. The course covers how to spli...
15,style_variant_same_course,"Finnish Input: Different Register, Same Course Content",fi,EQUIVALENT,TT00CE21,Scenario 15: Rewritten Finnish text in academic third-person register. Tests robustness to style variation.,Kurssin suoritettuaan opiskelija tuntee pilvipalveluiden arkkitehtuurin suunnittelun perusteet ja ymmärtää eri pilvimall...
16,hard_negative_mathematics,Hard Negative: Mathematical Foundations of ML vs Preparatory Mathematics,en,"EQUIVALENT for TT00CD98, NOT EQUIVALENT for TT00CD55",TT00CD98,Scenario 16: Hard negative pair SYN_HARD_TT00CD98_TT00CD55. Advanced ML mathematics vs basic engineering mathematics.,The course gives you a strong foundation in the mathematical concepts that are essential for the application of machine ...
17,niche_specific_match,Niche Course: Time Series Analysis and Forecasting,fi,EQUIVALENT,TT00CE04,"Scenario 17: Specialised course with unique vocabulary (ARIMA, LSTM, anomaly detection). Demonstrates precision on niche content.","Aikasarja-analyysi ja ennustaminen ovat keskeisiä esimerkiksi talousennustuksessa, säämallinnuksessa ja energiamittauksi..."
18,technical_unique_content,Unique Technical Content: Reverse Engineering,en,EQUIVALENT,TT00CE16,Scenario 18: Unique technical vocabulary. Demonstrates that specificity leads to high-confidence retrieval.,"After completing the course, the student understands the basic concepts of reverse engineering and is able to analyze an..."
19,hard_negative_software_engineering,Hard Negative: Software Testing vs Software Design,fi,"EQUIVALENT for TT00CD89, NOT EQUIVALENT for TT00CD90",TT00CD89,Scenario 19: Hard negative pair SYN_HARD_TT00CD89_TT00CD90 in software engineering group.,Opintojakson suoritettuasi ymmärrät ohjelmistojen laadunvarmistuksen ja testauksen merkityksen osana ohjelmistotuotannon...
20,generic_professional_input,Generic Input: Professional Development (Weak Signal),en,POTENTIAL OVERLAP or EQUIVALENT for TT00CL50 / TT00CQ81,TT00CL50 or TT00CQ81 (professional development courses),Scenario 20: Generic professional development text. Lower specificity means lower confidence. Demonstrates the overlap warning zone for non-technical content.,The student understands the importance of continuous professional development and lifelong learning in a changing workin...
