tokenizer,config,language,mean_tokens,median_tokens,max_tokens,pct_over_512
LaBSE,Config 1,FI,187.8961038961039,172.0,471,0.0
LaBSE,Config 1,EN,150.2922077922078,140.0,410,0.0
LaBSE,Config 2,FI,374.45454545454544,342.0,712,11.688311688311687
LaBSE,Config 2,EN,295.3051948051948,274.0,618,3.2467532467532463
LaBSE,Config 3,FI,646.9025974025974,624.0,1089,76.62337662337663
LaBSE,Config 3,EN,536.961038961039,509.0,941,48.701298701298704
LaBSE,Config 4,FI,177.58441558441558,158.0,435,0.0
LaBSE,Config 4,EN,149.55844155844156,141.0,401,0.0
LaBSE,Config 5,FI,351.76623376623377,323.0,654,9.740259740259742
LaBSE,Config 5,EN,292.8636363636364,274.0,605,1.2987012987012987
LaBSE,Config 6,FI,602.4935064935065,587.0,1006,63.63636363636363
LaBSE,Config 6,EN,531.0974025974026,499.5,925,48.701298701298704
mpnet-multilingual,Config 1,FI,183.94805194805195,174.0,470,0.0
mpnet-multilingual,Config 1,EN,167.72727272727272,150.0,448,0.0
mpnet-multilingual,Config 2,FI,369.81168831168833,347.0,723,11.688311688311687
mpnet-multilingual,Config 2,EN,333.77272727272725,318.0,676,9.090909090909092
mpnet-multilingual,Config 3,FI,637.3376623376623,603.0,1091,74.02597402597402
mpnet-multilingual,Config 3,EN,595.525974025974,579.5,1007,66.88311688311688
mpnet-multilingual,Config 4,FI,179.88311688311688,164.0,444,0.0
mpnet-multilingual,Config 4,EN,172.30519480519482,159.0,461,0.0
mpnet-multilingual,Config 5,FI,359.512987012987,342.5,679,11.03896103896104
mpnet-multilingual,Config 5,EN,340.88961038961037,315.0,698,9.090909090909092
mpnet-multilingual,Config 6,FI,626.8376623376623,606.0,1050,69.48051948051948
mpnet-multilingual,Config 6,EN,611.2337662337662,588.0,1046,67.53246753246754
FinBERT,Config 1,FI,140.34415584415584,129.0,363,0.0
FinBERT,Config 1,EN,292.2922077922078,261.0,775,7.792207792207792
FinBERT,Config 2,FI,284.53246753246754,268.0,544,1.2987012987012987
FinBERT,Config 2,EN,575.2142857142857,532.0,1157,58.44155844155844
FinBERT,Config 3,FI,493.0584415584416,489.0,803,40.25974025974026
FinBERT,Config 3,EN,1026.3636363636363,985.5,1784,98.7012987012987
FinBERT,Config 4,FI,141.55194805194805,131.0,355,0.0
FinBERT,Config 4,EN,280.7597402597403,257.0,740,7.792207792207792
FinBERT,Config 5,FI,281.94805194805195,265.5,532,1.2987012987012987
FinBERT,Config 5,EN,554.4350649350649,520.0,1113,51.298701298701296
FinBERT,Config 6,FI,484.2142857142857,480.5,778,36.36363636363637
FinBERT,Config 6,EN,986.5064935064935,949.0,1728,98.05194805194806
