model,config,language,n_texts,mean_tokens,median_tokens,max_tokens_untruncated,n_truncated,pct_truncated
mpnet,1,fi,154,183.9,174.0,470,0,0.0
mpnet,1,en,154,167.7,150.0,448,0,0.0
mpnet,2,fi,154,369.8,347.0,723,18,11.69
mpnet,2,en,154,333.8,318.0,676,14,9.09
mpnet,3,fi,154,637.3,603.0,1091,114,74.03
mpnet,3,en,154,595.5,579.5,1007,103,66.88
mpnet,4,fi,154,179.9,164.0,444,0,0.0
mpnet,4,en,154,172.3,159.0,461,0,0.0
mpnet,5,fi,154,359.5,342.5,679,17,11.04
mpnet,5,en,154,340.9,315.0,698,14,9.09
mpnet,6,fi,154,626.8,606.0,1050,107,69.48
mpnet,6,en,154,611.2,588.0,1046,104,67.53
stsb,1,fi,154,183.9,174.0,470,0,0.0
stsb,1,en,154,167.7,150.0,448,0,0.0
stsb,2,fi,154,369.8,347.0,723,18,11.69
stsb,2,en,154,333.8,318.0,676,14,9.09
stsb,3,fi,154,637.3,603.0,1091,114,74.03
stsb,3,en,154,595.5,579.5,1007,103,66.88
stsb,4,fi,154,179.9,164.0,444,0,0.0
stsb,4,en,154,172.3,159.0,461,0,0.0
stsb,5,fi,154,359.5,342.5,679,17,11.04
stsb,5,en,154,340.9,315.0,698,14,9.09
stsb,6,fi,154,626.8,606.0,1050,107,69.48
stsb,6,en,154,611.2,588.0,1046,104,67.53
e5,1,fi,154,186.9,177.0,473,0,0.0
e5,1,en,154,170.7,153.0,451,0,0.0
e5,2,fi,154,372.8,350.0,726,18,11.69
e5,2,en,154,336.8,321.0,679,16,10.39
e5,3,fi,154,640.3,606.0,1094,114,74.03
e5,3,en,154,598.5,582.5,1010,103,66.88
e5,4,fi,154,182.9,167.0,447,0,0.0
e5,4,en,154,175.3,162.0,464,0,0.0
e5,5,fi,154,362.5,345.5,682,17,11.04
e5,5,en,154,343.9,318.0,701,14,9.09
e5,6,fi,154,629.8,609.0,1053,109,70.78
e5,6,en,154,614.2,591.0,1049,107,69.48
labse,1,fi,154,187.9,172.0,471,0,0.0
labse,1,en,154,150.3,140.0,410,0,0.0
labse,2,fi,154,374.5,342.0,712,18,11.69
labse,2,en,154,295.3,274.0,618,5,3.25
labse,3,fi,154,646.9,624.0,1089,118,76.62
labse,3,en,154,537.0,509.0,941,75,48.7
labse,4,fi,154,177.6,158.0,435,0,0.0
labse,4,en,154,149.6,141.0,401,0,0.0
labse,5,fi,154,351.8,323.0,654,15,9.74
labse,5,en,154,292.9,274.0,605,2,1.3
labse,6,fi,154,602.5,587.0,1006,98,63.64
labse,6,en,154,531.1,499.5,925,75,48.7
finbert,1,fi,154,140.3,129.0,363,0,0.0
finbert,1,en,154,292.3,261.0,775,12,7.79
finbert,2,fi,154,284.5,268.0,544,2,1.3
finbert,2,en,154,575.2,532.0,1157,90,58.44
finbert,3,fi,154,493.1,489.0,803,62,40.26
finbert,3,en,154,1026.4,985.5,1784,152,98.7
finbert,4,fi,154,141.6,131.0,355,0,0.0
finbert,4,en,154,280.8,257.0,740,12,7.79
finbert,5,fi,154,281.9,265.5,532,2,1.3
finbert,5,en,154,554.4,520.0,1113,79,51.3
finbert,6,fi,154,484.2,480.5,778,56,36.36
finbert,6,en,154,986.5,949.0,1728,151,98.05
