model,config,cv_f1_mean,cv_f1_std,cv_f1_min,cv_f1_max,cv_precision,cv_recall,cv_accuracy,cv_auc,threshold_mean,threshold_std,full_f1_insamp,optimism_gap
mpnet,Outcomes (Raw),0.92,0.051,0.875,1.0,0.884,0.961,0.916,0.964,0.745,0.0,0.919,-0.001
mpnet,Outcomes + Contents (Raw),0.865,0.093,0.774,1.0,0.811,0.937,0.852,0.938,0.654,0.022,0.898,0.033
mpnet,Outcomes + Contents + Assessment (Raw),0.83,0.12,0.71,1.0,0.795,0.885,0.813,0.902,0.63,0.007,0.855,0.025
mpnet,Outcomes (Lemmatized),0.875,0.03,0.839,0.903,0.847,0.91,0.87,0.958,0.69,0.027,0.893,0.018
mpnet,Outcomes + Contents (Lemmatized),0.845,0.061,0.743,0.897,0.797,0.909,0.832,0.927,0.595,0.031,0.864,0.019
mpnet,Outcomes + Contents + Assessment (Lemmatized),0.773,0.086,0.629,0.848,0.691,0.883,0.741,0.865,0.541,0.036,0.8,0.027
stsb,Outcomes (Raw),0.952,0.044,0.882,1.0,0.911,1.0,0.948,0.988,0.88,0.0,0.951,-0.001
stsb,Outcomes + Contents (Raw),0.905,0.04,0.839,0.938,0.88,0.936,0.903,0.969,0.854,0.017,0.931,0.026
stsb,Outcomes + Contents + Assessment (Raw),0.936,0.032,0.903,0.968,0.924,0.949,0.935,0.969,0.83,0.0,0.936,0.0
stsb,Outcomes (Lemmatized),0.889,0.049,0.812,0.941,0.839,0.948,0.883,0.978,0.838,0.032,0.927,0.038
stsb,Outcomes + Contents (Lemmatized),0.842,0.045,0.774,0.897,0.838,0.858,0.838,0.957,0.84,0.035,0.889,0.047
stsb,Outcomes + Contents + Assessment (Lemmatized),0.874,0.061,0.8,0.938,0.842,0.91,0.871,0.947,0.794,0.009,0.889,0.015
e5,Outcomes (Raw),0.87,0.025,0.846,0.909,0.841,0.922,0.864,0.949,0.902,0.004,0.898,0.028
e5,Outcomes + Contents (Raw),0.935,0.052,0.882,1.0,0.89,0.988,0.929,0.969,0.91,0.0,0.933,-0.002
e5,Outcomes + Contents + Assessment (Raw),0.853,0.093,0.69,0.914,0.82,0.898,0.851,0.949,0.902,0.004,0.885,0.032
e5,Outcomes (Lemmatized),0.875,0.028,0.848,0.914,0.855,0.908,0.87,0.966,0.896,0.005,0.89,0.015
e5,Outcomes + Contents (Lemmatized),0.919,0.072,0.839,1.0,0.894,0.949,0.916,0.965,0.9,0.0,0.918,-0.001
e5,Outcomes + Contents + Assessment (Lemmatized),0.877,0.052,0.839,0.966,0.861,0.909,0.871,0.956,0.898,0.004,0.897,0.02
labse,Outcomes (Raw),0.968,0.022,0.938,1.0,0.965,0.974,0.968,0.999,0.878,0.011,0.981,0.013
labse,Outcomes + Contents (Raw),0.969,0.043,0.909,1.0,0.954,0.988,0.968,0.995,0.876,0.009,0.974,0.005
labse,Outcomes + Contents + Assessment (Raw),0.97,0.03,0.938,1.0,0.942,1.0,0.968,0.992,0.839,0.002,0.969,-0.001
labse,Outcomes (Lemmatized),0.949,0.036,0.909,1.0,0.94,0.961,0.948,0.996,0.863,0.018,0.969,0.02
labse,Outcomes + Contents (Lemmatized),0.976,0.033,0.938,1.0,0.954,1.0,0.974,0.992,0.874,0.002,0.975,-0.001
labse,Outcomes + Contents + Assessment (Lemmatized),0.942,0.037,0.882,0.97,0.955,0.934,0.942,0.997,0.892,0.013,0.968,0.026
finbert,Outcomes (Raw),0.721,0.048,0.647,0.765,0.624,0.857,0.669,0.725,0.58,0.0,0.721,0.0
finbert,Outcomes + Contents (Raw),0.673,0.083,0.529,0.744,0.565,0.841,0.598,0.706,0.572,0.013,0.709,0.036
finbert,Outcomes + Contents + Assessment (Raw),0.647,0.122,0.438,0.744,0.529,0.841,0.558,0.683,0.568,0.013,0.705,0.058
finbert,Outcomes (Lemmatized),0.707,0.046,0.65,0.757,0.571,0.935,0.611,0.706,0.568,0.004,0.72,0.013
finbert,Outcomes + Contents (Lemmatized),0.627,0.199,0.276,0.75,0.51,0.828,0.553,0.695,0.56,0.022,0.704,0.077
finbert,Outcomes + Contents + Assessment (Lemmatized),0.674,0.052,0.619,0.75,0.546,0.883,0.571,0.683,0.566,0.009,0.692,0.018
